        t [s]          omega [1/s]
        0.254              0.12359
        0.616              0.29215
        0.807              0.37513
        0.960              0.45808
        1.087              0.53234
        1.200              0.58095
        1.306              0.61366
        1.402              0.69440
        1.491              0.70894
        1.577              0.77166
        1.653              0.87959
        1.727              0.82902
        1.802              0.82698
        1.875              0.91277
        1.942              0.96510
        2.006              0.98201
        2.069              1.02527
        2.129              1.05697
        2.188              1.10118
        2.244              1.12108
        2.300              1.12245
        2.355              1.16371
        2.408              1.20664
        2.460              1.22783
        2.511              1.22496
        2.562              1.25334
        2.611              1.31644
        2.658              1.32666
        2.705              1.35115
        2.752              1.35090
        2.797              1.40815
        2.841              1.47092
        2.885              1.37408
        2.929              1.48655
        2.971              1.52694
        3.012              1.50234
        3.053              1.59168
        3.093              1.55986
        3.133              1.54284
        3.173              1.59786
        3.213              1.59090
        3.251              1.67864
        3.289              1.63672
        3.327              1.65434
        3.365              1.65965
        3.402              1.72218
        3.439              1.72793
        3.475              1.77649
        3.510              1.74673
        3.546              1.78648
        3.581              1.81362
        3.615              1.83785
        3.650              1.79982
        3.684              1.89754
        3.718              1.78695
        3.752              1.94696
        3.785              1.87200
        3.818              1.91445
        3.850              1.94162
        3.882              2.06312
        3.914              1.90651
        3.946              1.97278
        3.978              1.98964
        4.009              1.99420
        4.041              1.99765
        4.072              2.03761
        4.102              2.06159
        4.133              2.11695
        4.162              2.10288
        4.192              2.10188
        4.222              2.05340
        4.253              2.10418
        4.282              2.12650
        4.312              2.13729
        4.341              2.16544
        4.370              2.17562
        4.399              2.20889
        4.427              2.23310
        4.455              2.21712
        4.484              2.18526
        4.512              2.21503
        4.540              2.28490
        4.568              2.26385
        4.596              2.26310
        4.623              2.31139
        4.650              2.33079
        4.677              2.31188
        4.704              2.31503
        4.731              2.34831
        4.758              2.35244
        4.785              2.31210
        4.812              2.43282
        4.837              2.41332
        4.864              2.28636
        4.890              2.58427
        4.915              2.45722
        4.941              2.40758
        4.967              2.44975
        4.992              2.53602
        5.017              2.48730
        5.043              2.38007
        5.068              2.60719
        5.093              2.50250
        5.118              2.54748
        5.142              2.60411
        5.166              2.56878
        5.191              2.49741
        5.216              2.63394
        5.240              2.53216
        5.264              2.61219
        5.287              2.84861
        5.311              2.57301
        5.336              2.46838
        5.360              2.62334
        5.384              2.68882
        5.407              2.64958
        5.431              2.69501
        5.454              2.70503
        5.477              2.75250
        5.500              2.73902
        5.523              2.68439
        5.547              2.72657
        5.569              2.77337
        5.592              2.77460
        5.615              2.71827
        5.638              2.73882
        5.661              2.82830
        5.683              2.81207
        5.705              2.82255
        5.728              2.78512
        5.750              2.86615
        5.771              2.95529
        5.794              2.72320
        5.816              2.92691
        5.837              2.96066
        5.859              2.89425
        5.880              3.03165
        5.901              2.94276
        5.922              2.88790
        5.944              2.95657
        5.965              2.92314
        5.986              3.05202
        6.007              2.95412
        6.029              2.96253
        6.050              2.94808
        6.071              3.03607
        6.092              3.02346
        6.112              3.08899
        6.133              3.01386
        6.153              3.06499
        6.174              3.08912
        6.194              3.11117
        6.214              3.03055
        6.235              3.17198
        6.255              2.97251
        6.276              3.21924
        6.296              3.07530
        6.316              3.13131
        6.336              3.15755
        6.355              3.34001
        6.375              3.07039
        6.395              3.16115
        6.415              3.17413
        6.435              3.16729
        6.454              3.15662
        6.474              3.20726
        6.494              3.22895
        6.513              3.30351
        6.532              3.27108
        6.551              3.25347
        6.571              3.16943
        6.591              3.23369
        6.610              3.25517
        6.629              3.26041
        6.648              3.28844
        6.667              3.29639
        6.686              3.33051
        6.705              3.35796
        6.724              3.31974
        6.743              3.26126
        6.762              3.30060
        6.781              3.38678
        6.800              3.34866
        6.819              3.33867
        6.837              3.39614
        6.856              3.41797
        6.874              3.37839
        6.893              3.37049
        6.911              3.41020
        6.930              3.41035
        6.948              3.33243
        6.967              3.51048
        6.985              3.45945
        7.003              3.27636
        7.022              3.68855
        7.039              3.49966
        7.057              3.41875
        7.075              3.47130
        7.093              3.58142
        7.111              3.50523
        7.129              3.34492
        7.147              3.65795
        7.165              3.49999
        7.183              3.55408
        7.200              3.62558
        7.218              3.56880
        7.236              3.46249
        7.253              3.64373
        7.271              3.49509
        7.289              3.59809
        7.305              3.91079
        7.322              3.52965
        7.340              3.37246
        7.359              3.58244
        7.376              3.65760
        7.393              3.60137
        7.411              3.65154
        7.428              3.66045
        7.445              3.71395
        7.462              3.69182
        7.479              3.60900
        7.496              3.65849
        7.513              3.71376
        7.530              3.70789
        7.547              3.62892
        7.565              3.64285
        7.582              3.75732
        7.598              3.72706
        7.615              3.74213
        7.632              3.67679
        7.649              3.78139
        7.665              3.90203
        7.682              3.58690
        7.699              3.82714
        7.715              3.89251
        7.732              3.78349
        7.748              3.95849
        7.764              3.84224
        7.781              3.75694
        7.797              3.84717
        7.814              3.79287
        7.830              3.96141
        7.846              3.82440
        7.862              3.83418
        7.879              3.80248
        7.895              3.91262
        7.911              3.89534
        7.927              3.97065
        7.943              3.87261
        7.959              3.92985

