        t [s]          omega [1/s]
        0.179              0.17519
        0.485              0.24840
        0.695              0.37534
        0.852              0.42804
        0.985              0.53125
        1.096              0.60222
        1.197              0.64059
        1.290              0.72291
        1.375              0.74713
        1.458              0.77441
        1.536              0.83452
        1.610              0.86162
        1.680              0.93723
        1.747              0.93967
        1.813              0.97472
        1.877              1.00081
        1.938              1.06060
        1.996              1.08462
        2.053              1.13420
        2.108              1.13355
        2.163              1.17712
        2.215              1.21197
        2.266              1.24404
        2.317              1.23492
        2.366              1.31702
        2.415              1.25407
        2.463              1.38107
        2.509              1.33966
        2.556              1.38293
        2.600              1.41589
        2.643              1.51485
        2.686              1.41101
        2.730              1.47164
        2.772              1.49560
        2.814              1.50957
        2.856              1.52139
        2.896              1.56151
        2.936              1.58828
        2.975              1.63904
        3.014              1.64012
        3.052              1.64874
        3.090              1.61911
        3.128              1.66640
        3.166              1.69324
        3.203              1.71207
        3.239              1.73847
        3.275              1.75577
        3.311              1.79092
        3.345              1.81780
        3.380              1.81069
        3.415              1.79328
        3.450              1.82506
        3.484              1.88632
        3.517              1.87762
        3.550              1.88276
        3.583              1.92883
        3.616              1.95274
        3.648              1.94102
        3.680              1.95046
        3.712              1.98223
        3.744              1.99398
        3.776              1.96312
        3.807              2.07615
        3.837              2.05899
        3.868              1.96179
        3.899              2.21843
        3.928              2.11875
        3.957              2.07805
        3.987              2.12175
        4.016              2.20001
        4.045              2.16350
        4.075              2.07500
        4.104              2.27913
        4.132              2.19133
        4.160              2.23643
        4.188              2.28929
        4.216              2.26461
        4.244              2.20571
        4.272              2.33043
        4.299              2.24373
        4.327              2.31975
        4.353              2.53011
        4.379              2.29286
        4.407              2.20033
        4.434              2.34361
        4.461              2.39980
        4.487              2.37803
        4.513              2.41449
        4.539              2.43290
        4.565              2.47327
        4.590              2.47205
        4.616              2.41939
        4.642              2.46652
        4.667              2.50785
        4.692              2.51517
        4.717              2.46457
        4.743              2.48879
        4.767              2.57169
        4.792              2.56106
        4.816              2.57169
        4.841              2.54333
        4.865              2.61803
        4.889              2.70893
        4.913              2.49724
        4.937              2.67845
        4.961              2.72132
        4.984              2.65728
        5.007              2.78802
        5.030              2.70884
        5.053              2.65681
        5.077              2.72975
        5.100              2.69908
        5.123              2.82393
        5.145              2.73343
        5.168              2.74554
        5.191              2.73353
        5.214              2.81905
        5.236              2.80870
        5.258              2.87163
        5.280              2.80628
        5.303              2.85490
        5.324              2.88124
        5.346              2.90400
        5.368              2.83012
        5.390              2.96934
        5.412              2.78037
        5.433              3.01616
        5.455              2.88545
        5.476              2.93608
        5.498              2.96804
        5.518              3.13707
        5.539              2.88689
        5.561              2.97393
        5.582              2.98791
        5.603              2.98625
        5.624              2.97511
        5.645              3.02651
        5.665              3.05152
        5.686              3.12088
        5.706              3.09154
        5.726              3.07897
        5.747              2.99963
        5.768              3.06287
        5.788              3.08416
        5.808              3.09205
        5.829              3.12062
        5.849              3.12961
        5.869              3.16515
        5.889              3.19075
        5.908              3.15942
        5.928              3.10653
        5.949              3.13865
        5.968              3.22756
        5.988              3.19238
        6.008              3.17938
        6.027              3.24067
        6.046              3.25998
        6.066              3.22160
        6.085              3.22423
        6.105              3.25559
        6.124              3.26182
        6.144              3.18939
        6.163              3.35495
        6.182              3.31607
        6.201              3.13642
        6.220              3.53581
        6.238              3.35736
        6.257              3.27823
        6.276              3.33347
        6.295              3.43851
        6.313              3.36867
        6.332              3.21662
        6.351              3.51360
        6.369              3.36958
        6.388              3.42093
        6.406              3.48778
        6.424              3.43930
        6.443              3.33421
        6.461              3.51048
        6.479              3.36776
        6.498              3.46745
        6.515              3.77263
        6.533              3.40787
        6.551              3.25531
        6.570              3.45993
        6.588              3.53364
        6.606              3.48017
        6.624              3.53148
        6.642              3.54032
        6.659              3.59516
        6.677              3.57885
        6.695              3.48924
        6.713              3.54568
        6.730              3.60137
        6.748              3.59464
        6.765              3.51971
        6.783              3.53681
        6.801              3.64994
        6.818              3.62295
        6.835              3.63366
        6.853              3.57663
        6.870              3.67661
        6.887              3.78291
        6.904              3.49038
        6.921              3.74007
        6.938              3.77853
        6.955              3.68185
        6.972              3.87001
        6.988              3.73690
        7.005              3.66189
        7.022              3.75732
        7.039              3.69601
        7.056              3.86343
        7.072              3.73597
        7.089              3.73560
        7.106              3.71763
        7.123              3.82421
        7.139              3.80191
        7.155              3.88002
        7.172              3.78521
        7.188              3.84007
        7.205              3.87181
        7.221              3.89312
        7.237              3.78578
        7.253              3.96791
        7.270              3.70550
        7.286              4.01402
        7.302              3.83379
        7.318              3.89717
        7.334              3.92800
        7.350              4.15115
        7.366              3.81138
        7.382              3.92307
        7.398              3.93253
        7.414              3.92183
        7.430              3.90773
        7.446              3.96246
        7.462              3.99115
        7.477              4.07999
        7.493              4.03150
        7.508              4.00994
        7.524              3.90529
        7.540              3.97781
        7.556              4.00052
        7.572              4.00929
        7.587              4.03628
        7.603              4.04128
        7.618              4.08466
        7.634              4.11402
        7.649              4.06472
        7.665              3.98500
        7.680              4.03345
        7.696              4.14381
        7.711              4.08399
        7.726              4.06494
        7.742              4.14954
        7.757              4.16036
        7.772              4.10456
        7.787              4.10703
        7.803              4.14358
        7.818              4.13649
        7.833              4.04848
        7.848              4.25650
        7.863              4.18966
        7.879              3.96854
        7.893              4.46461
        7.908              4.23606
        7.923              4.12875
        7.938              4.19623
        7.953              4.32676
        7.968              4.22794
        7.983              4.03258
        7.998              4.40351
        8.012              4.21771
        8.027              4.27788
        8.042              4.35845
        8.056              4.29134
        8.071              4.15829
        8.086              4.37295
        8.100              4.19294
        8.115              4.31158
        8.129              4.68590
        8.143              4.22674
        8.159              4.03324
        8.174              4.28595
        8.188              4.37091
        8.203              4.29897
        8.217              4.35795
        8.232              4.37065
        8.246              4.42639
        8.260              4.39525
        8.275              4.29947
        8.289              4.35719
        8.303              4.41570
        8.318              4.40506
        8.332              4.31133
        8.347              4.32776
        8.361              4.46169
        8.375              4.42117
        8.389              4.43556

