        t [s]          omega [1/s]
        0.197              0.15914
        0.561              0.18862
        0.838              0.28627
        1.035              0.35961
        1.198              0.41531
        1.342              0.45496
        1.474              0.50132
        1.593              0.55782
        1.703              0.59042
        1.806              0.62640
        1.905              0.64978
        1.998              0.69987
        2.085              0.75133
        2.170              0.71883
        2.253              0.79517
        2.330              0.83289
        2.406              0.83442
        2.478              0.89808
        2.549              0.89331
        2.619              0.89593
        2.687              0.93885
        2.754              0.94610
        2.818              1.00916
        2.881              0.99402
        2.944              1.01461
        3.005              1.02638
        3.065              1.07371
        3.123              1.08462
        3.180              1.12163
        3.237              1.10825
        3.293              1.13976
        3.347              1.16274
        3.401              1.18299
        3.454              1.16321
        3.507              1.22978
        3.559              1.16135
        3.611              1.26999
        3.662              1.22338
        3.712              1.25451
        3.762              1.27604
        3.810              1.35866
        3.858              1.25843
        3.907              1.30505
        3.955              1.31973
        4.002              1.32589
        4.050              1.33036
        4.096              1.36069
        4.142              1.37926
        4.187              1.41881
        4.231              1.41332
        4.276              1.41527
        4.321              1.38715
        4.365              1.42320
        4.409              1.44073
        4.453              1.45248
        4.496              1.47288
        4.538              1.48399
        4.580              1.50799
        4.622              1.53003
        4.663              1.52331
        4.704              1.50451
        4.746              1.52744
        4.786              1.57771
        4.826              1.56781
        4.866              1.56998
        4.906              1.60731
        4.945              1.62360
        4.984              1.61114
        5.022              1.61904
        5.061              1.64404
        5.099              1.65281
        5.137              1.62395
        5.175              1.71591
        5.212              1.70173
        5.250              1.61939
        5.286              1.83081
        5.321              1.74592
        5.358              1.71211
        5.394              1.74694
        5.429              1.81016
        5.464              1.77919
        5.501              1.70479
        5.536              1.87120
        5.570              1.79939
        5.605              1.83637
        5.638              1.87781
        5.672              1.85702
        5.706              1.80855
        5.740              1.90967
        5.774              1.83817
        5.807              1.90023
        5.839              2.07225
        5.871              1.87664
        5.905              1.80082
        5.939              1.91876
        5.971              1.96518
        6.003              1.94363
        6.035              1.97419
        6.067              1.98732
        6.099              2.02337
        6.130              2.01477
        6.161              1.97867
        6.193              2.01061
        6.224              2.04858
        6.254              2.04970
        6.285              2.01078
        6.316              2.02725
        6.347              2.09741
        6.377              2.08847
        6.407              2.09506
        6.437              2.07156
        6.467              2.13322
        6.496              2.20253
        6.526              2.03556
        6.555              2.17360
        6.584              2.21575
        6.613              2.15622
        6.641              2.26440
        6.669              2.19943
        6.698              2.15548
        6.727              2.21215
        6.756              2.18342
        6.784              2.28427
        6.812              2.20902
        6.840              2.21620
        6.869              2.20571
        6.897              2.26920
        6.924              2.26180
        6.952              2.30925
        6.979              2.25439
        7.007              2.29202
        7.034              2.31117
        7.062              2.32804
        7.089              2.26666
        7.116              2.37502
        7.143              2.22198
        7.171              2.40828
        7.197              2.30089
        7.224              2.34105
        7.251              2.36215
        7.277              2.49808
        7.303              2.29722
        7.330              2.36617
        7.357              2.37502
        7.383              2.37119
        7.410              2.36445
        7.436              2.40195
        7.462              2.42088
        7.488              2.47744
        7.513              2.45200
        7.539              2.44130
        7.565              2.37600
        7.591              2.42472
        7.617              2.44695
        7.643              2.44639
        7.668              2.47466
        7.694              2.47466
        7.719              2.50794
        7.744              2.52288
        7.769              2.50350
        7.794              2.45392
        7.820              2.48590
        7.844              2.54956
        7.869              2.52696
        7.894              2.51163
        7.919              2.56509
        7.943              2.57478
        7.968              2.54930
        7.993              2.54497
        8.017              2.57469
        8.042              2.57425
        8.066              2.52194
        8.090              2.64855
        8.114              2.61748
        8.139              2.47842
        8.163              2.79227
        8.186              2.65164
        8.210              2.59124
        8.234              2.63052
        8.258              2.71836
        8.281              2.65822
        8.305              2.54023
        8.329              2.77676
        8.352              2.66011
        8.375              2.70230
        8.398              2.75594
        8.421              2.71571
        8.445              2.63477
        8.468              2.77450
        8.491              2.66086
        8.515              2.74123
        8.537              2.97818
        8.559              2.69259
        8.583              2.57169
        8.606              2.73383
        8.629              2.79103
        8.652              2.74896
        8.674              2.78760
        8.697              2.79874
        8.719              2.83654
        8.741              2.82617
        8.764              2.75878
        8.787              2.80208
        8.809              2.84558
        8.831              2.83815
        8.853              2.78429
        8.876              2.78988
        8.898              2.88890
        8.920              2.85741
        8.942              2.87207
        8.964              2.82521
        8.986              2.90468
        9.007              2.99771
        9.029              2.75594
        9.051              2.94913
        9.072              2.99006
        9.093              2.91043
        9.115              3.04842
        9.135              2.95692
        9.157              2.89224
        9.178              2.96101
        9.200              2.92679
        9.221              3.05189
        9.242              2.94785
        9.263              2.95564
        9.284              2.93711
        9.305              3.02017
        9.326              3.00649
        9.347              3.06587
        9.368              2.99113
        9.389              3.03607
        9.409              3.05774
        9.430              3.07682
        9.450              2.99376
        9.471              3.13393
        9.492              2.92896
        9.512              3.17292
        9.533              3.02847
        9.553              3.08036
        9.573              3.10344
        9.593              3.28138
        9.613              3.01180
        9.634              3.09728
        9.654              3.10665
        9.674              3.09652
        9.695              3.08201
        9.715              3.12752
        9.735              3.15171
        9.755              3.21690
        9.774              3.18140
        9.794              3.16649
        9.814              3.07619
        9.834              3.13931
        9.854              3.15543
        9.874              3.15769
        9.894              3.18424
        9.914              3.18586
        9.933              3.21855
        9.953              3.24292
        9.972              3.20206
        9.992              3.14695
       10.012              3.17413
       10.032              3.25956
       10.051              3.22049
       10.071              3.20165
       10.090              3.26112
       10.109              3.27751
       10.129              3.23173
       10.148              3.22979
       10.167              3.25686
       10.187              3.25899
       10.206              3.18424
       10.225              3.34477
       10.244              3.30002
       10.264              3.12114
       10.283              3.50982
       10.301              3.33169
       10.320              3.24741
       10.340              3.29871
       10.358              3.39845
       10.377              3.32254
       10.396              3.17091
       10.415              3.46025
       10.434              3.31153
       10.453              3.36052
       10.471              3.42187
       10.490              3.37003
       10.509              3.26367
       10.528              3.43111
       10.546              3.29103
       10.565              3.38495
       10.583              3.67391
       10.601              3.31505
       10.620              3.16609
       10.640              3.36383
       10.658              3.42672
       10.677              3.37839
       10.695              3.42156
       10.713              3.42406
       10.732              3.48049

