        t [s]          omega [1/s]
        0.345              0.09103
        0.838              0.21272
        1.097              0.28108
        1.300              0.34392
        1.473              0.38553
        1.628              0.42668
        1.771              0.45581
        1.903              0.50118
        2.023              0.54701
        2.139              0.53128
        2.251              0.59496
        2.354              0.62898
        2.453              0.63534
        2.548              0.68976
        2.639              0.69134
        2.730              0.69804
        2.817              0.73627
        2.902              0.74652
        2.984              0.80044
        3.062              0.79177
        3.141              0.81221
        3.218              0.82539
        3.292              0.86601
        3.364              0.87889
        3.434              0.91329
        3.503              0.90681
        3.571              0.93593
        3.638              0.95818
        3.703              0.97745
        3.767              0.96437
        3.831              1.02285
        3.894              0.96788
        3.956              1.06024
        4.016              1.02330
        4.077              1.05045
        4.136              1.06976
        4.193              1.14087
        4.250              1.05737
        4.309              1.09815
        4.365              1.11150
        4.422              1.11747
        4.478              1.12240
        4.533              1.14946
        4.588              1.16527
        4.641              1.20281
        4.693              1.19900
        4.745              1.20213
        4.798              1.17912
        4.851              1.21208
        4.902              1.22873
        4.953              1.23956
        5.003              1.25837
        5.053              1.26904
        5.102              1.29085
        5.150              1.30942
        5.199              1.30344
        5.247              1.28834
        5.295              1.30974
        5.343              1.35410
        5.389              1.34651
        5.436              1.34816
        5.482              1.38076
        5.527              1.39655
        5.572              1.38633
        5.617              1.39292
        5.662              1.41327
        5.707              1.42341
        5.751              1.39887
        5.795              1.47843
        5.837              1.46600
        5.881              1.39551
        5.924              1.57861
        5.965              1.50587
        6.007              1.47674
        6.049              1.50693
        6.090              1.56181
        6.130              1.53592
        6.172              1.47231
        6.213              1.61618
        6.253              1.55445
        6.293              1.58602
        6.332              1.62311
        6.371              1.60521
        6.410              1.56301
        6.449              1.65146
        6.488              1.58989
        6.527              1.64307
        6.564              1.79255
        6.601              1.62423
        6.640              1.55736
        6.679              1.65958
        6.717              1.70324
        6.754              1.68203
        6.791              1.71144
        6.827              1.72376
        6.864              1.75479
        6.899              1.74698
        6.936              1.71630
        6.972              1.74600
        7.008              1.77586
        7.043              1.77881
        7.079              1.74775
        7.114              1.76014
        7.150              1.81992
        7.184              1.81047
        7.219              1.82151
        7.254              1.79728
        7.288              1.85079
        7.321              1.91420
        7.356              1.76749
        7.390              1.89031
        7.423              1.92635
        7.456              1.87607
        7.489              1.96983
        7.521              1.91298
        7.554              1.87838
        7.587              1.92928
        7.620              1.90768
        7.652              1.99425
        7.684              1.93301
        7.717              1.93851
        7.749              1.93136
        7.781              1.99192
        7.813              1.98396
        7.844              2.02857
        7.875              1.98196
        7.907              2.01537
        7.938              2.03529
        7.969              2.04931
        8.000              1.99797
        8.030              2.09647
        8.061              1.96164
        8.092              2.12940
        8.122              2.03628
        8.153              2.07185
        8.183              2.09501
        8.212              2.21235
        8.242              2.03800
        8.272              2.09629
        8.302              2.11028
        8.332              2.10394
        8.362              2.10041
        8.392              2.13382
        8.421              2.15183
        8.450              2.20163
        8.478              2.17866
        8.507              2.17046
        8.537              2.11343
        8.566              2.15684
        8.595              2.17222
        8.624              2.17638
        8.653              2.19692
        8.681              2.20066
        8.710              2.22601
        8.738              2.24501
        8.766              2.22067
        8.794              2.18329
        8.823              2.20396
        8.851              2.26741
        8.879              2.24085
        8.907              2.23251
        8.935              2.27478
        8.963              2.28776
        8.990              2.26276
        9.018              2.26187
        9.046              2.28650
        9.073              2.28887
        9.101              2.23864
        9.128              2.35628
        9.155              2.32472
        9.183              2.20376
        9.210              2.47908
        9.236              2.35687
        9.263              2.30103
        9.290              2.33806
        9.316              2.41519
        9.343              2.36326
        9.370              2.25670
        9.396              2.46741
        9.422              2.36475
        9.449              2.40072
        9.475              2.44959
        9.501              2.41332
        9.527              2.34127
        9.553              2.46368
        9.579              2.36550
        9.605              2.43654
        9.630              2.64817
        9.655              2.39344
        9.682              2.28608
        9.709              2.43148
        9.734              2.48047
        9.760              2.44719
        9.785              2.47900
        9.811              2.48862
        9.836              2.52449
        9.861              2.51163
        9.886              2.45392
        9.911              2.49193
        9.936              2.52781
        9.961              2.52653
        9.986              2.47115
       10.012              2.48491
       10.037              2.56456
       10.061              2.54506
       10.086              2.55121
       10.111              2.51273
       10.135              2.58178
       10.159              2.65756
       10.184              2.45819
       10.209              2.61501
       10.233              2.66474
       10.257              2.58552
       10.280              2.71630
       10.304              2.62702
       10.328              2.57726
       10.352              2.63422
       10.376              2.60230
       10.400              2.71472
       10.423              2.62343
       10.447              2.62748
       10.471              2.61319
       10.495              2.68728
       10.518              2.67405
       10.542              2.72776
       10.565              2.65916
       10.588              2.70152
       10.611              2.72103
       10.635              2.73722
       10.658              2.66351
       10.681              2.78833
       10.704              2.60638
       10.727              2.82266
       10.750              2.69433
       10.773              2.73872
       10.796              2.76071
       10.818              2.91496
       10.841              2.67644
       10.864              2.75462
       10.887              2.76122
       10.909              2.75240
       10.932              2.74012
       10.955              2.78078
       10.978              2.79999
       11.000              2.85970
       11.022              2.82745
       11.044              2.81080
       11.067              2.73522
       11.090              2.78812
       11.112              2.80229
       11.135              2.80618
       11.157              2.82755
       11.179              2.83065
       11.201              2.85828
       11.223              2.87726
       11.245              2.84310
       11.267              2.79748
       11.290              2.81788
       11.312              2.89850
       11.334              2.85970
       11.356              2.84569
       11.377              2.89951
       11.399              2.91043
       11.421              2.87626
       11.443              2.86812
       11.464              2.89929
       11.486              2.89638
       11.508              2.82980
       11.530              2.97653
       11.551              2.93206
       11.573              2.77625
       11.594              3.12101
       11.615              2.96230
       11.637              2.88979
       11.658              2.93355
       11.679              3.02334
       11.700              2.95996
       11.722              2.82032
       11.743              3.07998
       11.764              2.94971
       11.785              2.99233
       11.806              3.04941
       11.827              3.00131
       11.848              2.90840
       11.869              3.05912
       11.890              2.93309
       11.911              3.01459
       11.931              3.27751
       11.952              2.95552
       11.973              2.82170
       11.995              2.99771
       12.016              3.05438
       12.036              3.01047
       12.057              3.04730
       12.078              3.05463
       12.098              3.09741
       12.119              3.07644
       12.139              3.00709
       12.160              3.04446
       12.180              3.09345

