        t [s]          omega [1/s]
        0.287              0.10929
        0.698              0.25467
        0.916              0.33311
        1.090              0.39610
        1.241              0.43827
        1.376              0.49246
        1.498              0.53620
        1.612              0.57434
        1.718              0.61318
        1.817              0.64773
        1.912              0.68586
        2.001              0.72214
        2.087              0.74347
        2.170              0.75745
        2.252              0.79104
        2.329              0.83838
        2.403              0.85270
        2.476              0.87288
        2.546              0.91257
        2.614              0.94020
        2.681              0.95042
        2.746              0.97110
        2.810              1.00199
        2.872              1.02384
        2.933              1.02030
        2.993              1.09239
        3.050              1.09708
        3.109              1.05776
        3.164              1.21007
        3.217              1.16677
        3.271              1.15592
        3.325              1.19263
        3.376              1.24796
        3.427              1.23821
        3.478              1.19802
        3.528              1.32580
        3.577              1.28534
        3.625              1.32075
        3.672              1.36138
        3.718              1.35540
        3.765              1.32772
        3.811              1.41112
        3.856              1.36652
        3.901              1.42064
        3.943              1.55746
        3.986              1.41897
        4.031              1.36826
        4.075              1.46652
        4.117              1.50993
        4.159              1.49958
        4.201              1.53231
        4.241              1.54922
        4.281              1.58475
        4.321              1.58599
        4.361              1.56268
        4.401              1.59354
        4.440              1.63344
        4.478              1.64407
        4.517              1.61918
        4.555              1.63614
        4.593              1.70077
        4.630              1.69861
        4.667              1.71399
        4.703              1.69646
        4.740              1.75405
        4.775              1.81912
        4.811              1.68604
        4.847              1.80720
        4.881              1.84509
        4.916              1.80628
        4.950              1.89807
        4.983              1.85083
        5.018              1.82076
        5.052              1.87289
        5.085              1.85702
        5.118              1.94555
        5.151              1.88931
        5.184              1.89932
        5.217              1.89456
        5.250              1.95754
        5.282              1.95264
        5.314              1.99770
        5.346              1.95601
        5.378              1.99012
        5.409              2.01132
        5.440              2.02945
        5.471              1.97935
        5.502              2.07886
        5.534              1.94879
        5.565              2.11474
        5.595              2.02681
        5.626              2.06437
        5.656              2.08673
        5.685              2.21202
        5.715              2.03446
        5.745              2.10023
        5.775              2.11266
        5.805              2.11058
        5.835              2.10885
        5.864              2.14451
        5.893              2.16276
        5.922              2.22139
        5.950              2.19885
        5.979              2.19563
        6.008              2.13991
        6.037              2.18852
        6.066              2.20707
        6.094              2.21444
        6.122              2.23784
        6.150              2.24534
        6.178              2.27498
        6.206              2.29490
        6.233              2.27616
        6.261              2.23904
        6.289              2.26577
        6.316              2.33275
        6.343              2.30804
        6.371              2.30343
        6.398              2.34912
        6.424              2.36752
        6.451              2.34171
        6.478              2.34412
        6.504              2.36789
        6.531              2.37773
        6.558              2.32457
        6.584              2.45111
        6.610              2.42080
        6.636              2.29687
        6.662              2.58686
        6.687              2.46150
        6.713              2.40612
        6.739              2.44719
        6.764              2.52789
        6.789              2.47744
        6.815              2.36744
        6.841              2.58981
        6.865              2.48508
        6.890              2.52526
        6.915              2.57894
        6.940              2.54178
        6.965              2.46903
        6.989              2.60176
        7.014              2.49808
        7.039              2.57540
        7.062              2.80125
        7.086              2.53396
        7.111              2.42166
        7.136              2.57487
        7.161              2.63588
        7.185              2.59699
        7.209              2.63820
        7.232              2.64658
        7.256              2.68892
        7.279              2.67634
        7.303              2.61793
        7.327              2.66105
        7.350              2.69967
        7.374              2.70278
        7.397              2.64229
        7.421              2.66256
        7.444              2.74514
        7.467              2.72985
        7.490              2.73542
        7.513              2.69831
        7.536              2.77337
        7.558              2.86188
        7.581              2.63774
        7.604              2.81767
        7.626              2.86472
        7.649              2.78512
        7.671              2.92268
        7.693              2.83461
        7.715              2.77204
        7.737              2.84785
        7.760              2.80965
        7.781              2.93297
        7.803              2.84095
        7.825              2.84095
        7.847              2.83086
        7.869              2.90998
        7.891              2.89772
        7.912              2.96019
        7.934              2.88456
        7.956              2.93539
        7.977              2.95424
        7.998              2.97570
        8.019              2.89783
        8.041              3.03104
        8.062              2.84052
        8.083              3.07102
        8.104              2.93884
        8.126              2.98542
        8.146              3.01313
        8.167              3.18546
        8.187              2.92314
        8.209              3.01301
        8.229              3.02346
        8.250              3.01410
        8.271              3.00637
        8.292              3.05053
        8.312              3.07266
        8.333              3.14365
        8.353              3.10704
        8.373              3.09422
        8.394              3.01059
        8.414              3.07077
        8.435              3.09052
        8.455              3.09498
        8.475              3.11984
        8.495              3.12452
        8.515              3.15702
        8.535              3.18113
        8.555              3.14602
        8.575              3.08963
        8.595              3.11932
        8.615              3.20534
        8.635              3.16502
        8.655              3.15039
        8.675              3.20836
        8.694              3.22534
        8.714              3.18803
        8.733              3.18086
        8.753              3.21414
        8.773              3.21621
        8.792              3.14023
        8.812              3.30496
        8.831              3.25686
        8.851              3.08302
        8.870              3.46906
        8.889              3.29161
        8.908              3.21497
        8.927              3.26197
        8.946              3.36580
        8.965              3.29422
        8.985              3.14102
        9.004              3.43331
        9.023              3.28656
        9.042              3.33540
        9.060              3.40014
        9.079              3.34911
        9.098              3.24390
        9.117              3.41486
        9.136              3.27336
        9.155              3.36988
        9.173              3.66224
        9.191              3.30336
        9.210              3.15675
        9.229              3.35315
        9.248              3.41891
        9.266              3.36867
        9.285              3.41377
        9.303              3.42093
        9.322              3.47243
        9.340              3.44736
        9.358              3.37140
        9.377              3.41782
        9.395              3.46665
        9.413              3.46089
        9.431              3.38525
        9.450              3.40014
        9.468              3.50752
        9.486              3.47742
        9.504              3.48648
        9.522              3.43001
        9.540              3.52235
        9.558              3.62488
        9.576              3.35001
        9.594              3.56727
        9.612              3.61335
        9.629              3.52932
        9.647              3.68710
        9.664              3.57033
        9.682              3.50015
        9.700              3.57800
        9.717              3.52467
        9.735              3.68456
        9.752              3.55341
        9.770              3.55712
