        t [s]          omega [1/s]
        0.088              0.35538
        0.453              0.11365
        0.878              0.21131
        1.138              0.28183
        1.338              0.35847
        1.511              0.36453
        1.679              0.38567
        1.831              0.44634
        1.965              0.48930
        2.091              0.51397
        2.209              0.54978
        2.321              0.57847
        2.426              0.61325
        2.527              0.63324
        2.625              0.64282
        2.721              0.67447
        2.812              0.70670
        2.900              0.72625
        2.986              0.73056
        3.071              0.75340
        3.152              0.79643
        3.230              0.80792
        3.307              0.82784
        3.383              0.83168
        3.456              0.87075
        3.527              0.91386
        3.598              0.85624
        3.668              0.92998
        3.735              0.95893
        3.801              0.94629
        3.865              1.00578
        3.928              0.98804
        3.992              0.98057
        4.055              1.01752
        4.117              1.01621
        4.177              1.07396
        4.236              1.04876
        4.296              1.06280
        4.355              1.06769
        4.413              1.10971
        4.469              1.11454
        4.525              1.14627
        4.580              1.12723
        4.635              1.15216
        4.689              1.16828
        4.743              1.18213
        4.796              1.15796
        4.849              1.21932
        4.902              1.14666
        4.955              1.24868
        5.006              1.19798
        5.058              1.22418
        5.109              1.24139
        5.158              1.31817
        5.208              1.21720
        5.259              1.25911
        5.308              1.27067
        5.358              1.27391
        5.407              1.27556
        5.456              1.30237
        5.504              1.31759
        5.551              1.35315
        5.597              1.34453
        5.644              1.34330
        5.692              1.31385
        5.739              1.34613
        5.785              1.36054
        5.831              1.36959
        5.877              1.38620
        5.922              1.39460
        5.967              1.41591
        6.011              1.43261
        6.055              1.42287
        6.099              1.40301
        6.144              1.42293
        6.187              1.46795
        6.230              1.45666
        6.273              1.45581
        6.316              1.48788
        6.358              1.50219
        6.400              1.48871
        6.442              1.49363
        6.484              1.51469
        6.525              1.52090
        6.567              1.49244
        6.608              1.57460
        6.648              1.55843
        6.690              1.48100
        6.730              1.67369
        6.768              1.59408
        6.808              1.56047
        6.848              1.59009
        6.887              1.64620
        6.925              1.61653
        6.965              1.54736
        7.004              1.69588
        7.042              1.62914
        7.080              1.65877
        7.117              1.69619
        7.155              1.67519
        7.193              1.62889
        7.230              1.71807
        7.267              1.65379
        7.305              1.70712
        7.340              1.86034
        7.376              1.68392
        7.414              1.61326
        7.452              1.71917
        7.488              1.75965
        7.524              1.73875
        7.559              1.76690
        7.595              1.77599
        7.630              1.80772
        7.665              1.79991
        7.700              1.76524
        7.735              1.79388
        7.770              1.82617
        7.804              1.82791
        7.839              1.79216
        7.874              1.80502
        7.908              1.86766
        7.942              1.85596
        7.976              1.86511
        8.010              1.84056
        8.043              1.89284
        8.076              1.95703
        8.110              1.80515
        8.143              1.93550
        8.175              1.96596
        8.208              1.91606
        8.240              2.01229
        8.271              1.95361
        8.304              1.91455
        8.336              1.96539
        8.369              1.94122
        8.400              2.02901
        8.432              1.96472
        8.464              1.97035
        8.496              1.96046
        8.527              2.02222
        8.558              2.01240
        8.589              2.05599
        8.620              2.00889
        8.651              2.04088
        8.682              2.06018
        8.712              2.07282
        8.743              2.01928
        8.773              2.11594
        8.804              1.97961
        8.835              2.14518
        8.864              2.05060
        8.895              2.08493
        8.925              2.10441
        8.954              2.22449
        8.983              2.04478
        9.014              2.10501
        9.043              2.11391
        9.073              2.10791
        9.103              2.10158
        9.133              2.13388
        9.162              2.14973
        9.191              2.19930
        9.220              2.17524
        9.249              2.16626
        9.278              2.10838
        9.308              2.15060
        9.337              2.16488
        9.366              2.16933
        9.395              2.18832
        9.423              2.19197
        9.452              2.21568
        9.480              2.23297
        9.508              2.20707
        9.537              2.17367
        9.566              2.19370
        9.594              2.25582
        9.622              2.23031
        9.650              2.21916
        9.678              2.26447
        9.706              2.27443
        9.734              2.24952
        9.762              2.24608
        9.790              2.27126
        9.817              2.27167
        9.845              2.22205
        9.873              2.33776
        9.900              2.30584
        9.928              2.18584
        9.955              2.45923
        9.981              2.33573
       10.008              2.28163
       10.036              2.31667
       10.062              2.39245
       10.089              2.34046
       10.116              2.23424
       10.143              2.44138
       10.170              2.33966
       10.196              2.37675
       10.222              2.42276
       10.249              2.38856
       10.275              2.31488
       10.302              2.43868
       10.328              2.33842
       10.355              2.40882
       10.380              2.61711
       10.405              2.36468
       10.432              2.25853
       10.459              2.40049
       10.485              2.45023
       10.511              2.41449
       10.537              2.44647
       10.562              2.45489
       10.588              2.48953
       10.613              2.47662
       10.639              2.41916
       10.665              2.45569
       10.690              2.49036
       10.715              2.48937
       10.741              2.43195
       10.766              2.44512
       10.792              2.52500
       10.817              2.50266
       10.842              2.51020
       10.867              2.47131
       10.892              2.54031
       10.916              2.61766
       10.942              2.40967
       10.967              2.57610
       10.991              2.61055
       11.015              2.54376
       11.040              2.65897
       11.064              2.58365
       11.088              2.52389
       11.113              2.58838
       11.137              2.54947
       11.161              2.66285
       11.185              2.57257
       11.210              2.57637
       11.234              2.55992
       11.258              2.63283
       11.282              2.62040
       11.306              2.67148
       11.330              2.60619
       11.354              2.64584
       11.377              2.66455
       11.401              2.68113
       11.425              2.60792
       11.448              2.73164
       11.472              2.55208
       11.496              2.76386

