        t [s]          omega [1/s]
        0.130              0.24132
        0.394              0.23467
        0.605              0.41047
        0.745              0.49117
        0.863              0.58198
        0.964              0.66528
        1.055              0.71855
        1.141              0.75385
        1.219              0.84891
        1.293              0.86229
        1.363              0.93603
        1.426              1.06396
        1.487              1.00048
        1.550              0.99538
        1.610              1.09765
        1.666              1.15703
        1.720              1.17668
        1.772              1.22807
        1.822              1.26422
        1.871              1.31614
        1.918              1.33851
        1.965              1.33925
        2.011              1.38722
        2.056              1.43741
        2.099              1.46197
        2.142              1.45734
        2.185              1.49108
        2.226              1.56516
        2.266              1.57718
        2.305              1.60576
        2.345              1.60421
        2.383              1.67272
        2.420              1.74694
        2.457              1.63024
        2.494              1.76354
        2.529              1.81104
        2.564              1.78181
        2.598              1.88822
        2.632              1.85015
        2.666              1.82902
        2.700              1.89255
        2.733              1.88741
        2.766              1.98875
        2.798              1.93856
        2.830              1.96061
        2.862              1.96647
        2.893              2.03972
        2.924              2.04634
        2.954              2.10388
        2.985              2.06847
        3.015              2.11552
        3.044              2.14813
        3.073              2.17569
        3.102              2.13237
        3.131              2.24716
        3.160              2.11528
        3.188              2.30712
        3.216              2.21548
        3.244              2.26872
        3.272              2.29884
        3.298              2.44536
        3.325              2.25799
        3.352              2.33718
        3.379              2.35754
        3.406              2.36371
        3.432              2.36542
        3.458              2.41628
        3.484              2.44257
        3.510              2.50962
        3.535              2.49226
        3.560              2.49326
        3.586              2.43408
        3.611              2.49625
        3.636              2.52008
        3.661              2.53765
        3.686              2.56526
        3.710              2.58338
        3.734              2.61675
        3.758              2.65098
        3.782              2.62877
        3.806              2.59357
        3.830              2.62619
        3.853              2.71099
        3.877              2.68497
        3.900              2.68584
        3.923              2.74143
        3.946              2.76549
        3.969              2.74062
        3.992              2.74846
        4.015              2.78284
        4.037              2.79446
        4.060              2.73942
        4.082              2.89023
        4.104              2.85773
        4.127              2.71571
        4.148              3.06249
        4.169              2.91609
        4.191              2.85414
        4.213              2.90626
        4.234              3.00830
        4.255              2.94901
        4.277              2.82372
        4.298              3.09128
        4.319              2.96839
        4.340              3.02200
        4.361              3.08670
        4.381              3.04718
        4.402              2.96218
        4.423              3.12413
        4.443              3.00179
        4.464              3.09703
        4.483              3.37656
        4.503              3.05140
        4.524              2.92508
        4.545              3.11091
        4.565              3.18411
        4.585              3.14497
        4.605              3.19007
        4.624              3.20754
        4.644              3.26055
        4.663              3.24474
        4.682              3.18289
        4.702              3.22839
        4.721              3.28699
        4.740              3.28671
        4.760              3.21938
        4.779              3.24404
        4.798              3.35135
        4.817              3.32859
        4.836              3.34507
        4.855              3.29653
        4.874              3.39445
        4.892              3.50195
        4.911              3.22395
        4.929              3.46025
        4.947              3.51905
        4.966              3.41377
        4.983              3.59619
        5.001              3.48680
        5.019              3.41082
        5.038              3.50785
        5.056              3.45722
        5.073              3.61387
        5.091              3.49819
        5.109              3.50621
        5.127              3.49038
        5.145              3.59619
        5.162              3.57629
        5.180              3.65617
        5.197              3.56982
        5.215              3.62470
        5.232              3.65724
        5.249              3.68510
        5.266              3.58398
        5.283              3.75845
        5.301              3.51674
        5.318              3.81060
        5.335              3.64426
        5.352              3.70496
        5.369              3.74119
        5.385              3.95661
        5.402              3.63560
        5.419              3.74362
        5.435              3.76203
        5.452              3.74943
        5.469              3.74045
        5.485              3.80056
        5.502              3.82557
        5.518              3.91201
        5.534              3.87882
        5.551              3.85429
        5.567              3.75544
        5.584              3.83477
        5.600              3.85587
        5.616              3.86263
        5.632              3.90224
        5.649              3.90427
        5.665              3.94827
        5.680              3.98182
        5.696              3.93439
        5.712              3.86482
        5.729              3.91528
        5.744              4.01638
        5.760              3.96770
        5.776              3.95598
        5.792              4.03302
        5.807              4.04608
        5.823              4.00480
        5.839              4.00223
        5.854              4.03693
        5.870              4.04324
        5.885              3.95619
        5.901              4.15575
        5.916              4.09940
        5.932              3.88928
        5.947              4.36810
        5.962              4.14931
        5.977              4.05505
        5.993              4.11718
        6.008              4.24614

