        t [s]          omega [1/s]
        0.305              0.10297
        0.736              0.24947
        0.951              0.35315
        1.123              0.37680
        1.283              0.41180
        1.424              0.48599
        1.547              0.54024
        1.660              0.57150
        1.766              0.61627
        1.865              0.65214
        1.958              0.69421
        2.047              0.71986
        2.134              0.73319
        2.217              0.77155
        2.297              0.80986
        2.373              0.83395
        2.448              0.84058
        2.522              0.86836
        2.592              0.91933
        2.660              0.93397
        2.726              0.95781
        2.792              0.96329
        2.856              1.01058
        2.916              1.06086
        2.977              0.99528
        3.038              1.08236
        3.095              1.11682
        3.152              1.10329
        3.207              1.17230
        3.261              1.15322
        3.316              1.14379
        3.370              1.18926
        3.423              1.18781
        3.474              1.25651
        3.525              1.22766
        3.575              1.24475
        3.626              1.25125
        3.675              1.30131
        3.723              1.30824
        3.771              1.34828
        3.818              1.32723
        3.864              1.35975
        3.910              1.38316
        3.955              1.40309
        4.000              1.37660
        4.045              1.45330
        4.089              1.36996
        4.133              1.49566
        4.176              1.43899
        4.219              1.47285
        4.262              1.49640
        4.302              1.59138
        4.343              1.47106
        4.385              1.52415
        4.426              1.53828
        4.467              1.54351
        4.508              1.54637
        4.548              1.57898
        4.588              1.59796
        4.627              1.64163
        4.665              1.63191
        4.703              1.63187
        4.742              1.59605
        4.781              1.63589
        4.819              1.65401
        4.857              1.66455
        4.895              1.68566
        4.932              1.69626
        4.969              1.72135
        5.005              1.74259
        5.041              1.73132
        5.078              1.70611
        5.114              1.73092
        5.150              1.78593
        5.185              1.77162
        5.221              1.77074
        5.256              1.81051
        5.291              1.82466
        5.325              1.81235
        5.360              1.81758
        5.394              1.83966
        5.428              1.84905
        5.462              1.81507
        5.496              1.91332
        5.529              1.89456
        5.563              1.80129
        5.596              2.03187
        5.628              1.93570
        5.661              1.89662
        5.693              1.93047
        5.725              1.99962
        5.757              1.96307
        5.790              1.87748
        5.822              2.06006
        5.853              1.97689
        5.884              2.01364
        5.915              2.05899
        5.946              2.03192
        5.977              1.97700
        6.008              2.08429
        6.039              2.00513
        6.070              2.07133
        6.099              2.25582
        6.128              2.04083
        6.160              1.95698
        6.191              2.08070
        6.221              2.13419
        6.250              2.10406
        6.280              2.13985
        6.309              2.15078
        6.338              2.18641
        6.367              2.18011
        6.396              2.13370
        6.425              2.17197
        6.454              2.20681
        6.483              2.21052
        6.511              2.16701
        6.540              2.18062
        6.568              2.25806
        6.596              2.24085
        6.624              2.25432
        6.652              2.22054
        6.680              2.28601
        6.707              2.36378
        6.735              2.18011
        6.763              2.33434
        6.790              2.37126
        6.816              2.31310
        6.843              2.42589
        6.869              2.35680
        6.896              2.30925
        6.923              2.36991
        6.950              2.33879
        6.976              2.44639
        7.002              2.36490
        7.029              2.37389
        7.055              2.36133
        7.081              2.43274
        7.107              2.42260
        7.133              2.47360
        7.159              2.41495
        7.184              2.45537
        7.210              2.47474
        7.235              2.49243
        7.261              2.42762
        7.286              2.54359
        7.312              2.38060
        7.337              2.57983
        7.362              2.46635
        7.387              2.50869
        7.412              2.53199
        7.436              2.67615
        7.461              2.46150
        7.486              2.53379
        7.511              2.54428
        7.535              2.53894
        7.560              2.53097
        7.585              2.57151
        7.609              2.58891
        7.633              2.64967
        7.657              2.62123
        7.681              2.61091
        7.705              2.54118
        7.730              2.59330
        7.754              2.60991
        7.778              2.61656
        7.802              2.63727
        7.826              2.64518
        7.849              2.67081
        7.873              2.69404
        7.896              2.66313
        7.920              2.62224
        7.944              2.64574
        7.967              2.72281
        7.991              2.68853
        8.014              2.67931
        8.037              2.72895
        8.060              2.74625
        8.083              2.71325
        8.106              2.71001
        8.129              2.74012
        8.152              2.73892
        8.176              2.68219
        8.198              2.81778
        8.221              2.78460
        8.244              2.63459
        8.267              2.96698
        8.288              2.81661
        8.311              2.75139
        8.334              2.79436
        8.356              2.88390
        8.378              2.82308
        8.400              2.69375
        8.423              2.94542
        8.445              2.81937
        8.467              2.86538
        8.488              2.92063
        8.510              2.87792
        8.532              2.79103
        8.554              2.93826
        8.576              2.81714
        8.598              2.90232
        8.619              3.15344
        8.640              2.84840
        8.662              2.72221
        8.685              2.89090
        8.706              2.95180
        8.728              2.90693
        8.749              2.94646
        8.771              2.95529
        8.792              2.99891
        8.813              2.98008
        8.834              2.91507
        8.855              2.95517
        8.877              2.99951
        8.897              2.99615
        8.919              2.93034
        8.940              2.94415
        8.961              3.03681
        8.982              3.01156
        9.003              3.02517
        9.024              2.97051
        9.044              3.06037
        9.065              3.15039
        9.086              2.90097
        9.106              3.10036
        9.127              3.14088
        9.147              3.06324
        9.167              3.20178
        9.187              3.10550
        9.207              3.04125
        9.228              3.11168
        9.248              3.07014
        9.268              3.20397
        9.288              3.09358
        9.308              3.10190
        9.329              3.07998
        9.349              3.16823
        9.369              3.15198
        9.388              3.21414
        9.408              3.13511
        9.428              3.18140
        9.448              3.20617
        9.467              3.22506
        9.487              3.13589
        9.507              3.28397
        9.526              3.07115
        9.546              3.32195
        9.566              3.17373
        9.585              3.22298

