        t [s]          omega [1/s]
        0.233              0.13505
        0.778              0.10059
        1.282              0.16349
        1.630              0.20215
        1.913              0.24523
        2.157              0.27081
        2.384              0.28389
        2.585              0.34763
        2.764              0.35359
        2.939              0.36644
        3.104              0.39370
        3.258              0.42611
        3.404              0.43506
        3.549              0.43243
        3.685              0.48961
        3.815              0.48293
        3.942              0.50437
        4.064              0.52814
        4.182              0.53294
        4.301              0.52869
        4.415              0.56867
        4.527              0.55696
        4.637              0.58508
        4.739              0.64801
        4.840              0.59524
        4.947              0.57940
        5.052              0.62660
        5.150              0.65045
        5.247              0.65098
        5.342              0.67071
        5.435              0.68337
        5.525              0.70437
        5.614              0.70990
        5.703              0.70376
        5.791              0.72565
        5.876              0.74710
        5.960              0.75677
        6.043              0.75007
        6.126              0.76285
        6.207              0.79691
        6.286              0.79942
        6.364              0.80996
        6.441              0.80661
        6.518              0.83763
        6.591              0.87195
        6.666              0.81109
        6.741              0.87389
        6.812              0.89468
        6.883              0.87717
        6.953              0.92537
        7.021              0.90350
        7.091              0.89155
        7.161              0.91943
        7.229              0.91365
        7.296              0.96045
        7.363              0.93319
        7.430              0.94013
        7.497              0.93899
        7.563              0.96975
        7.627              0.96825
        7.692              0.98816
        7.756              0.96334
        7.821              0.97708
        7.885              0.98324
        7.949              0.98892
        8.013              0.96219
        8.077              1.00681
        8.142              0.94103
        8.206              1.01954
        8.269              0.97363
        8.333              0.99012
        8.396              0.99974
        8.457              1.05670
        8.519              0.97175
        8.583              1.00117
        8.646              1.00618
        8.708              1.00541
        8.771              1.00384
        8.833              1.02224
        8.894              1.03081
        8.954              1.05831
        9.014              1.05064
        9.073              1.04853
        9.134              1.02318
        9.195              1.04642
        9.255              1.05588
        9.314              1.06089
        9.373              1.07273
        9.431              1.07786
        9.489              1.09258
        9.546              1.10471
        9.603              1.09619
        9.661              1.08019
        9.719              1.09464
        9.776              1.12767
        9.832              1.11727
        9.888              1.11529
        9.944              1.13951
        9.998              1.14937
       10.053              1.13830
       10.108              1.14123
       10.163              1.15523
       10.218              1.15977
       10.272              1.13711
       10.326              1.20044
       10.379              1.18834
       10.433              1.12886
       10.485              1.27448
       10.536              1.21407
       10.588              1.18886
       10.641              1.21101
       10.692              1.25292
       10.742              1.22980
       10.794              1.17703
       10.845              1.29056
       10.895              1.23931
       10.945              1.26244
       10.995              1.29018
       11.044              1.27413
       11.094              1.23764
       11.143              1.30607
       11.192              1.25548
       11.241              1.29625
       11.288              1.41226
       11.335              1.27793
       11.385              1.22428
       11.435              1.30278
       11.482              1.33517
       11.530              1.31878
       11.577              1.34045
       11.624              1.34767
       11.670              1.37114
       11.716              1.36497
       11.762              1.33891
       11.809              1.36051
       11.855              1.38430
       11.900              1.38494
       11.946              1.35903
       11.992              1.36791
       12.037              1.41468
       12.082              1.40635
       12.126              1.41340
       12.171              1.39437
       12.215              1.43609
       12.259              1.48258
       12.303              1.36864
       12.347              1.46408
       12.390              1.48897
       12.432              1.45012
       12.475              1.52198
       12.517              1.47808
       12.560              1.44623
       12.602              1.48862
       12.645              1.46850
       12.687              1.53551
       12.728              1.48520
       12.771              1.49128
       12.813              1.48399
       12.855              1.52772
       12.896              1.52204
       12.937              1.55252
       12.978              1.51610
       13.019              1.54002
       13.059              1.55198
       13.100              1.56223
       13.140              1.52099
       13.181              1.59334
       13.222              1.48915
       13.262              1.61291
       13.302              1.54195
       13.343              1.56798
       13.382              1.58161
       13.421              1.67093
       13.460              1.53450
       13.501              1.57864
       13.540              1.58552
       13.580              1.58077
       13.620              1.57506
       13.660              1.60007
       13.699              1.61097
       13.737              1.64559
       13.776              1.62783
       13.814              1.62023
       13.854              1.57662
       13.893              1.60748
       13.932              1.61639
       13.971              1.61950
       14.010              1.63215
       14.048              1.63539
       14.086              1.65230
       14.124              1.66459
       14.162              1.64725
       14.201              1.61775
       14.239              1.63400
       14.277              1.67898
       14.315              1.65950
       14.353              1.65204
       14.390              1.68188
       14.428              1.69324
       14.465              1.67134
       14.503              1.67008
       14.540              1.68832
       14.577              1.68984
       14.615              1.65179
       14.652              1.73710
       14.688              1.71414
       14.726              1.62392
       14.763              1.82782
       14.798              1.73517
       14.835              1.69469
       14.871              1.72206
       14.907              1.77704
       14.943              1.74012
       14.980              1.66083
       15.016              1.81529
       15.052              1.73960
       15.087              1.76678
       15.123              1.80086
       15.158              1.77485
       15.194              1.72123
       15.229              1.81117
       15.265              1.73851
       15.300              1.79007
       15.334              1.94631
       15.368              1.75800
       15.405              1.67902
       15.441              1.78436
       15.476              1.82271
       15.511              1.79487
       15.545              1.81943
       15.580              1.82586
       15.614              1.85225
       15.648              1.83957
       15.682              1.80073
       15.717              1.82586
       15.751              1.85298
       15.785              1.85051
       15.820              1.81091
       15.854              1.81948
       15.888              1.87715
       15.922              1.86186
       15.955              1.86789
       15.989              1.83659
       16.023              1.88518
       16.056              1.95097
       16.090              1.79178
       16.123              1.91582
       16.156              1.94646
       16.189              1.89055
       16.221              1.98338
       16.253              1.92210
       16.286              1.88073
       16.319              1.92670
       16.352              1.89970
       16.385              1.98223
       16.417              1.91577
       16.450              1.91886
       16.483              1.90685
       16.515              1.96153
       16.547              1.95097
       16.579              1.99028
       16.611              1.94031
       16.643              1.96931
       16.675              1.98369
       16.707              1.99351
