        t [s]          omega [1/s]
        0.208              0.15118
        0.558              0.22037
        0.802              0.30907
        0.983              0.39542
        1.134              0.44094
        1.271              0.48186
        1.394              0.54030
        1.507              0.57446
        1.611              0.64040
        1.708              0.65477
        1.801              0.69058
        1.890              0.71893
        1.975              0.77019
        2.055              0.79515
        2.132              0.83891
        2.207              0.84475
        2.279              0.88312
        2.349              0.91382
        2.417              0.94184
        2.484              0.93697
        2.549              1.00152
        2.613              0.95508
        2.676              1.05413
        2.736              1.02401
        2.797              1.05809
        2.855              1.08427
        2.911              1.16322
        2.967              1.08466
        3.024              1.13306
        3.079              1.15276
        3.133              1.16516
        3.187              1.17585
        3.240              1.20915
        3.291              1.23156
        3.341              1.27495
        3.390              1.27602
        3.440              1.28404
        3.489              1.26427
        3.538              1.30353
        3.586              1.32554
        3.633              1.34140
        3.679              1.36579
        3.725              1.38203
        3.770              1.40971
        3.814              1.43239
        3.858              1.42938
        3.902              1.41618
        3.946              1.44292
        3.989              1.49431
        4.031              1.48903
        4.073              1.49503
        4.115              1.53501
        4.155              1.55500
        4.196              1.54555
        4.236              1.55552
        4.276              1.58174
        4.316              1.59371
        4.356              1.56893
        4.395              1.66252
        4.433              1.64990
        4.472              1.57163
        4.509              1.77995
        4.545              1.70115
        4.583              1.66989
        4.620              1.70720
        4.656              1.77146
        4.692              1.74369
        4.729              1.67313
        4.764              1.83840
        4.799              1.77033
        4.834              1.80724
        4.869              1.85124
        4.903              1.83260
        4.938              1.78542
        4.972              1.88893
        5.006              1.81917
        5.040              1.88154
        5.072              2.05464
        5.104              1.86237
        5.138              1.78708
        5.172              1.90632
        5.205              1.95590
        5.237              1.93301
        5.269              1.97050
        5.301              1.98045
        5.333              2.01950
        5.364              2.01434
        5.395              1.97658
        5.427              2.01229
        5.458              2.04992
        5.488              2.05295
        5.519              2.01803
        5.550              2.03203
        5.581              2.10595
        5.611              2.09471
        5.640              2.10601
        5.670              2.08249
        5.700              2.14604
        5.729              2.21745
        5.758              2.05099
        5.788              2.19351
        5.816              2.23577
        5.845              2.17897
        5.873              2.28964
        5.901              2.22502
        5.929              2.18113
        5.958              2.24454
        5.986              2.21791
        6.014              2.32256
        6.041              2.24851
        6.069              2.25785
        6.097              2.25189
        6.124              2.31925
        6.152              2.31474
        6.178              2.36445
        6.205              2.31245
        6.232              2.35103
        6.259              2.37502
        6.285              2.39344
        6.312              2.33420
        6.338              2.44871
        6.365              2.29321
        6.391              2.48862
        6.417              2.38120
        6.443              2.42424
        6.469              2.44911
        6.494              2.59223
        6.519              2.38453
        6.545              2.45803
        6.570              2.46830
        6.596              2.46993
        6.621              2.45964
        6.647              2.50542
        6.672              2.52211
        6.696              2.58615
        6.721              2.55721
        6.745              2.55103
        6.770              2.48170
        6.795              2.53825
        6.820              2.55347
        6.845              2.56342
        6.869              2.58329
        6.893              2.59348
        6.917              2.62114
        6.941              2.64481
        6.965              2.61729
        6.989              2.57345
        7.014              2.60005
        7.037              2.67568
        7.061              2.64509
        7.085              2.63505
        7.108              2.68536
        7.132              2.70220
        7.155              2.67253
        7.179              2.67072
        7.202              2.70220
        7.225              2.70171
        7.249              2.64696
        7.272              2.78243
        7.295              2.74927
        7.318              2.60330
        7.341              2.93286
        7.363              2.78594
        7.386              2.72034
        7.409              2.76662
        7.431              2.85458
        7.453              2.79717
        7.476              2.66929
        7.499              2.91984
        7.521              2.79728
        7.543              2.84138
        7.565              2.89850
        7.587              2.85675
