        t [s]          omega [1/s]
        7.609              2.76958
        7.631              2.91723
        7.653              2.79853
        7.675              2.88301
        7.696              3.13681
        7.717              2.83129
        7.740              2.70796
        7.763              2.87549
        7.784              2.94011
        7.806              2.89325
        7.827              2.93746
        7.849              2.94403
        7.870              2.98970
        7.891              2.97216
        7.912              2.90795
        7.934              2.95017
        7.955              2.99651
        7.976              2.99292
        7.997              2.92885
        8.018              2.94519
        8.040              3.03878
        8.060              3.01592
        8.081              3.02664
        8.102              2.97688
        8.123              3.06037
        8.143              3.15317
        8.164              2.91394
        8.185              3.10357
        8.205              3.15596
        8.225              3.07379
        8.245              3.21414
        8.265              3.12270
        8.285              3.05426
        8.305              3.12700
        8.326              3.08759
        8.346              3.22132
        8.365              3.11323
        8.386              3.11984
        8.406              3.10074
        8.426              3.18993
        8.446              3.17359
        8.465              3.23746
        8.485              3.15888
        8.505              3.20603
        8.524              3.23104
        8.543              3.24755
        8.563              3.16168
        8.582              3.30919
        8.602              3.09256
        8.622              3.35150
        8.641              3.19823
        8.660              3.25079
        8.680              3.27866
        8.698              3.46169
        8.717              3.17992
        8.737              3.27179
        8.756              3.28181
        8.775              3.27008
        8.794              3.25842
        8.813              3.30773
        8.832              3.32726
        8.851              3.40308
        8.870              3.36504
        8.888              3.34328
        8.907              3.25814
        8.926              3.31901
        8.945              3.33540
        8.964              3.34433
        8.983              3.36655
        9.002              3.37079
        9.020              3.40787
        9.038              3.42986
        9.057              3.38892
        9.076              3.32593
        9.094              3.36625
        9.113              3.45069
        9.131              3.41004
        9.150              3.39722
        9.168              3.45149
        9.186              3.47484
        9.204              3.42970
        9.223              3.42000
        9.241              3.45897
        9.259              3.45658
        9.277              3.37458
        9.296              3.55307
        9.313              3.49852
        9.332              3.31095
        9.350              3.72854
        9.367              3.53448
        9.385              3.44800
        9.403              3.50211
        9.421              3.61178
        9.439              3.53048
        9.457              3.36837
        9.475              3.67571
        9.492              3.52153
        9.510              3.57407
        9.527              3.64232
        9.545              3.58278
        9.562              3.47484
        9.580              3.65261
        9.598              3.50211
        9.615              3.60362
        9.632              3.91324
        9.649              3.53181
        9.667              3.37322
        9.685              3.57971
        9.703              3.65172
        9.720              3.59861
        9.737              3.64196
        9.755              3.64941
        9.772              3.70550
        9.789              3.67337
        9.806              3.59464
        9.823              3.64249
        9.840              3.69291
        9.858              3.68728
        9.875              3.60588
        9.892              3.61701
        9.909              3.72984
        9.926              3.70002
        9.943              3.70917
        9.960              3.64373
        9.977              3.74774
        9.994              3.86124
       10.011              3.54853

