        t [s]          omega [1/s]
        0.135              0.23207
        0.419              0.21208
        0.658              0.34383
        0.822              0.43659
        0.955              0.51273
        1.071              0.56948
        1.178              0.61433
        1.276              0.67135
        1.365              0.73733
        1.448              0.77173
        1.528              0.80824
        1.603              0.86236
        1.674              0.90400
        1.743              0.92728
        1.810              0.95963
        1.874              1.00149
        1.936              1.03301
        1.996              1.03846
        2.054              1.12071
        2.110              1.13316
        2.167              1.09954
        2.220              1.26518
        2.270              1.22604
        2.322              1.22144
        2.372              1.26474
        2.421              1.33008
        2.468              1.32519
        2.516              1.28734
        2.563              1.43034
        2.607              1.39114
        2.652              1.43400
        2.695              1.48258
        2.737              1.47998
        2.780              1.45411
        2.822              1.55044
        2.863              1.50527
        2.904              1.56847
        2.942              1.72340
        2.980              1.57295
        3.021              1.52007
        3.061              1.63215
        3.099              1.68365
        3.136              1.67515
        3.173              1.71434
        3.210              1.73565
        3.245              1.77830
        3.281              1.78139
        3.316              1.75829
        3.352              1.79508
        3.386              1.84323
        3.420              1.85527
        3.454              1.82755
        3.488              1.85321
        3.522              1.92828
        3.554              1.92353
        3.587              1.94388
        3.619              1.92883
        3.651              1.99382
        3.682              2.06944
        3.714              1.92018
        3.745              2.05938
        3.776              2.10755
        3.806              2.05933
        3.835              2.16933
        3.865              2.11761
        3.895              2.08122
        3.924              2.14524
        3.954              2.12620
        3.983              2.23184
        4.011              2.16601
        4.040              2.18056
        4.069              2.17866
        4.097              2.25101
        4.125              2.24979
        4.153              2.30520
        4.180              2.25792
        4.208              2.30166
        4.235              2.32775
        4.262              2.34934
        4.289              2.29469
        4.316              2.40998
        4.343              2.26071
        4.369              2.45682
        4.396              2.35369
        4.422              2.39942
        4.448              2.42864
        4.473              2.57266
        4.499              2.37066
        4.525              2.44600
        4.550              2.46360
        4.576              2.46206
        4.601              2.46053
        4.627              2.50383
        4.652              2.52747
        4.676              2.59061
        4.701              2.57398
        4.725              2.56333
        4.750              2.50601
        4.775              2.55782
        4.799              2.58499
        4.823              2.59026
        4.847              2.62279
        4.871              2.62913
        4.895              2.66701
        4.919              2.68911
        4.942              2.66967
        4.966              2.62481
        4.990              2.65888
        5.013              2.73632
        5.036              2.71031
        5.059              2.70385
        5.082              2.75868
        5.105              2.78088
        5.128              2.75058
        5.150              2.75513
        5.173              2.78594
        5.196              2.79092
        5.218              2.73802
        5.241              2.87936
        5.263              2.85067
        5.285              2.70064
        5.307              3.04557
        5.328              2.89727
        5.350              2.83118
        5.372              2.88301
        5.394              2.97428
        5.415              2.91984
        5.437              2.78719
        5.459              3.05301
        5.480              2.92771
        5.501              2.97464
        5.522              3.03977
        5.543              2.99591
        5.564              2.91054
        5.585              3.06675
        5.606              2.94565
        5.627              3.03571
        5.647              3.30365
        5.667              2.98756
        5.688              2.85610
        5.710              3.03607
        5.730              3.10884
        5.751              3.06374
        5.771              3.10975
        5.791              3.12595
        5.811              3.17131
        5.831              3.15689
        5.851              3.09383
        5.871              3.13471
        5.891              3.19278
        5.911              3.18505
        5.931              3.12465
        5.951              3.14207
        5.970              3.24362
        5.990              3.22423
        6.009              3.23271
        6.029              3.18776
        6.048              3.28110
        6.067              3.38021
        6.086              3.12127
        6.106              3.33184
        6.125              3.38540
        6.143              3.29842
        6.162              3.45244
        6.181              3.35120
        6.200              3.28052
        6.218              3.37034
        6.237              3.32239
        6.256              3.46938
        6.274              3.35736
        6.293              3.36353
        6.312              3.34358
        6.330              3.44609
        6.348              3.42703
        6.366              3.49934
        6.385              3.41595
        6.403              3.46713
        6.421              3.49885
        6.439              3.52004
        6.457              3.42375
        6.475              3.59240
        6.493              3.35781
        6.511              3.63507
        6.529              3.47662
        6.547              3.53348
        6.564              3.56185
        6.581              3.77017
        6.599              3.46105
        6.617              3.56100
        6.634              3.57339
        6.652              3.56846
        6.670              3.55543
        6.687              3.60726
        6.705              3.63754
        6.722              3.71892
        6.739              3.67463
        6.756              3.66045
