        t [s]          omega [1/s]
        6.773              3.56286
        6.791              3.62962
        6.808              3.65760
        6.825              3.66421
        6.842              3.68801
        6.859              3.70185
        6.876              3.73765
        6.893              3.76411
        6.910              3.72669
        6.927              3.65867
        6.944              3.69182
        6.960              3.79825
        6.977              3.75036
        6.994              3.73021
        7.011              3.80133
        7.027              3.82167
        7.044              3.77548
        7.060              3.77244
        7.077              3.80712
        7.093              3.81080
        7.110              3.72428
        7.126              3.91405
        7.143              3.86362
        7.159              3.65671
        7.176              4.11334
        7.191              3.90447
        7.208              3.81157
        7.224              3.87081
        7.240              3.99158
        7.256              3.90814
        7.272              3.72613
        7.288              4.07179
        7.304              3.89757
        7.320              3.95870
        7.336              4.03432
        7.352              3.97128
        7.368              3.84974
        7.384              4.05176
        7.399              3.88465
        7.415              3.99903
        7.430              4.34481
        7.446              3.92142
        7.462              3.74662
        7.478              3.97697
        7.494              4.06010
        7.510              3.99732
        7.525              4.05176
        7.541              4.05988
        7.556              4.11990
        7.571              4.09246
        7.587              4.00223
        7.602              4.05461
        7.618              4.11718
        7.633              4.10928
        7.649              4.01746
        7.664              4.03823
        7.680              4.16291
        7.695              4.12829
        7.710              4.13855
        7.725              4.07444
        7.740              4.18335
        7.755              4.30391
        7.770              3.96561
        7.786              4.24782
        7.800              4.29873
        7.815              4.17357
        7.830              4.38368
        7.845              4.25023
        7.860              4.14725
        7.874              4.24902
        7.889              4.19364
        7.904              4.37193
        7.919              4.21723
        7.934              4.23128
        7.948              4.20069
        7.963              4.31456
        7.978              4.29282
        7.992              4.37856
        8.007              4.26522
        8.021              4.32876
        8.036              4.36302
        8.050              4.38420
        8.065              4.26231
        8.079              4.45983
        8.094              4.17078
        8.108              4.51462
        8.123              4.30613
        8.137              4.37422
        8.151              4.41077
        8.165              4.65882
        8.179              4.27544
        8.194              4.39654
        8.208              4.41128
        8.222              4.39602
        8.237              4.37371
        8.251              4.43687
        8.265              4.46914
        8.279              4.56354
        8.293              4.50865
        8.307              4.48196
        8.321              4.36658
        8.335              4.44344
        8.349              4.46887

