        t [s]          omega [1/s]
        0.290              0.10848
        0.747              0.18729
        1.035              0.26023
        1.254              0.32222
        1.436              0.37180
        1.597              0.40892
        1.744              0.44696
        1.879              0.48640
        2.004              0.51941
        2.123              0.53726
        2.234              0.59377
        2.339              0.61236
        2.442              0.60448
        2.538              0.70674
        2.628              0.69377
        2.718              0.70051
        2.806              0.73370
        2.889              0.77879
        2.969              0.78315
        3.050              0.76745
        3.128              0.85890
        3.202              0.84079
        3.275              0.87188
        3.346              0.90670
        3.415              0.90908
        3.485              0.89781
        3.552              0.96118
        3.619              0.93647
        3.684              0.97974
        3.745              1.08016
        3.806              0.98905
        3.871              0.95873
        3.934              1.03283
        3.994              1.06805
        4.053              1.06527
        4.111              1.09330
        4.168              1.10932
        4.224              1.13931
        4.279              1.14458
        4.334              1.13193
        4.389              1.15862
        4.442              1.19155
        4.495              1.20219
        4.548              1.18875
        4.600              1.20641
        4.651              1.25708
        4.701              1.25788
        4.751              1.27287
        4.800              1.26429
        4.849              1.31057
        4.896              1.36182
        4.944              1.26448
        4.992              1.36037
        5.038              1.39183
        5.083              1.36269
        5.128              1.43697
        5.172              1.40293
        5.217              1.38287
        5.262              1.42517
        5.306              1.41370
        5.350              1.48626
        5.393              1.44323
        5.436              1.45471
        5.479              1.45375
        5.522              1.50412
        5.564              1.50481
        5.605              1.54240
        5.646              1.51255
        5.687              1.54294
        5.728              1.56200
        5.768              1.57881
        5.808              1.54287
        5.848              1.62227
        5.888              1.52303
        5.927              1.65551
        5.966              1.58700
        6.005              1.61873
        6.044              1.63772
        6.081              1.73497
        6.119              1.59946
        6.157              1.65066
        6.195              1.66064
        6.233              1.66075
        6.271              1.65928
        6.309              1.68973
        6.346              1.70471
        6.382              1.74653
        6.418              1.73469
        6.454              1.73160
        6.491              1.68904
        6.528              1.72694
        6.564              1.74401
        6.600              1.75049
        6.636              1.76715
        6.671              1.77704
        6.706              1.80008
        6.741              1.81613
        6.776              1.80203
        6.811              1.77506
        6.846              1.79573
        6.881              1.84887
        6.915              1.83349
        6.949              1.82853
        6.983              1.86599
        7.017              1.88130
        7.050              1.86237
        7.084              1.86409
        7.117              1.88565
        7.151              1.89093
        7.184              1.85321
        7.217              1.95315
        7.250              1.92977
        7.283              1.83242
        7.316              2.06540
        7.347              1.96451
        7.379              1.92181
        7.411              1.95514
        7.443              2.02086
        7.474              1.98170
        7.507              1.89375
        7.539              2.07357
        7.570              1.98949
        7.601              2.02249
        7.632              2.06711
        7.662              2.03722
        7.694              1.98039
        7.724              2.08742
        7.755              2.00379
        7.786              2.06916
        7.815              2.24966
        7.845              2.03617
        7.876              1.94706
        7.907              2.07110
        7.937              2.11905
        7.967              2.09022
        7.997              2.12554
        8.027              2.12855
        8.056              2.17115
        8.085              2.15344
        8.114              2.11433
        8.144              2.14383
        8.173              2.18018
        8.202              2.18119
        8.231              2.13425
        8.260              2.15097
        8.289              2.21949
        8.317              2.20473
        8.346              2.21391
        8.374              2.17999
        8.403              2.24662
        8.430              2.31438
        8.459              2.13613
        8.487              2.28246
        8.514              2.31918
        8.542              2.25792
        8.569              2.36826
        8.596              2.29652
        8.624              2.24858
        8.651              2.31245
        8.679              2.27685
        8.706              2.38628
        8.732              2.30025
        8.760              2.31231
        8.787              2.29638
        8.814              2.36699
        8.841              2.35340
        8.867              2.40627
        8.893              2.34515
        8.920              2.38560
        8.946              2.40295
        8.972              2.42025
        8.999              2.35569
        9.025              2.46822
        9.051              2.30911
        9.077              2.50133
        9.103              2.39069
        9.129              2.43061
        9.155              2.45256
        9.180              2.59142
        9.205              2.38249
        9.231              2.45151
        9.256              2.46069
        9.282              2.45714
        9.308              2.44671
        9.333              2.48714
        9.358              2.50250
        9.383              2.56167
        9.408              2.53182
        9.433              2.52356
        9.458              2.45159
        9.483              2.50567
        9.508              2.51712
        9.533              2.52526
        9.558              2.54135
        9.583              2.54835
        9.607              2.57469
        9.632              2.59483
        9.656              2.56544
        9.681              2.51915
        9.705              2.54437
        9.730              2.61419
        9.754              2.58356
        9.778              2.57054
        9.803              2.61857
        9.826              2.63107
        9.850              2.60276
        9.875              2.59636
        9.899              2.62757
        9.923              2.62306
        9.947              2.56895
        9.971              2.69772
        9.994              2.66427
       10.018              2.51872
       10.042              2.83740
