20 0.00 0.00 0.00 0.00 0.01 
25 0.06 0.05 0.04 0.06 0.01
30 0.11 0.10 0.07 0.14 0.01
35 0.17 0.15 0.11 0.20 0.01
40 0.21 0.20 0.15 0.27 0.01
45 0.27 0.24 0.18 0.33 0.01
50 0.32 0.29 0.22 0.41 0.01
55 0.37 0.34 0.25 0.47 0.01
60 0.42 0.38 0.28 0.52 0.01
