     Èas [s]    Napìtí [V]
      50,360 -5,44100E-004
      50,610 -5,47000E-004
      50,875 -5,46200E-004
      51,141 -5,47600E-004
      51,391 -5,46100E-004
      51,657 -5,46000E-004
      51,907 -5,45200E-004
      52,157 -5,44800E-004
      52,422 -5,44800E-004
      52,672 -5,44500E-004
      52,938 -5,42800E-004
      53,188 -5,43400E-004
      53,454 -5,44200E-004
      53,735 -5,43900E-004
      54,000 -5,39500E-004
      54,250 -5,34700E-004
      54,516 -5,34400E-004
      54,782 -5,42600E-004
      55,032 -5,39900E-004
      55,282 -5,41700E-004
      55,547 -5,39400E-004
      55,797 -5,38400E-004
      56,063 -5,37300E-004
      56,313 -5,35200E-004
      56,579 -5,36600E-004
      56,844 -5,34400E-004
      57,110 -5,31100E-004
      57,360 -5,28300E-004
      57,610 -5,32000E-004
      57,875 -5,30700E-004
      58,125 -5,25700E-004
      58,375 -5,22900E-004
      58,641 -5,24000E-004
      58,891 -5,29800E-004
      59,141 -5,29500E-004
      59,407 -5,33900E-004
      59,657 -5,31400E-004
      59,922 -5,29700E-004
      60,172 -5,23100E-004
      60,422 -5,23300E-004
      60,672 -5,22100E-004
      60,938 -5,18400E-004
      61,188 -5,13800E-004
      61,438 -5,10000E-004
      61,704 -5,10300E-004
      61,969 -5,08400E-004
      62,219 -5,01800E-004
      62,469 -4,92600E-004
      62,735 -4,88100E-004
      62,985 -4,99800E-004
      63,235 -4,96200E-004
      63,500 -4,99300E-004
      63,750 -4,95700E-004
      64,000 -4,96200E-004
      64,266 -4,88700E-004
      64,516 -4,89700E-004
      64,782 -4,88200E-004
      65,032 -4,83500E-004
      65,282 -4,77600E-004
      65,547 -4,72500E-004
      65,797 -4,72000E-004
      66,063 -4,71000E-004
      66,313 -4,59000E-004
      66,563 -4,49900E-004
      66,813 -4,50000E-004
      67,079 -4,56800E-004
      67,329 -4,58000E-004
      67,579 -4,61500E-004
      67,829 -4,59900E-004
      68,079 -4,57500E-004
      68,329 -4,49700E-004
      68,579 -4,49000E-004
      68,829 -4,50600E-004
      69,094 -4,44900E-004
      69,344 -4,40300E-004
      69,594 -4,38200E-004
      69,844 -4,38300E-004
      70,094 -4,34300E-004
      70,360 -4,24100E-004
      70,610 -4,16300E-004
      70,860 -4,18200E-004
      71,110 -4,17900E-004
      71,375 -4,22900E-004
      71,625 -4,21100E-004
      71,875 -4,18600E-004
      72,125 -4,14200E-004
      72,391 -4,08400E-004
      72,641 -4,09100E-004
      72,891 -4,05400E-004
      73,141 -4,01400E-004
      73,407 -3,95700E-004
      73,657 -3,89900E-004
      73,922 -3,87800E-004
      74,172 -3,89400E-004
      74,422 -3,77800E-004
      74,688 -3,69600E-004
      74,938 -3,67100E-004
      75,204 -3,72300E-004
      75,454 -3,73400E-004
      75,719 -3,74300E-004
      75,969 -3,72400E-004
      76,235 -3,69100E-004
      76,485 -3,62700E-004
      76,750 -3,65600E-004
      77,000 -3,64000E-004
      77,266 -3,61100E-004
      77,516 -3,55100E-004
      77,782 -3,52400E-004
      78,032 -3,52800E-004
      78,297 -3,48200E-004
      78,547 -3,41400E-004
      78,813 -3,35200E-004
      79,063 -3,31100E-004
      79,329 -3,29200E-004
      79,579 -3,31900E-004
      79,829 -3,32300E-004
      80,079 -3,29900E-004
      80,344 -3,26400E-004
      80,594 -3,20400E-004
      80,844 -3,18600E-004
      81,094 -3,16800E-004
      81,360 -3,12500E-004
      81,610 -3,07200E-004
      81,860 -2,97400E-004
      82,110 -2,99300E-004
      82,375 -2,97300E-004
      82,625 -2,90500E-004
      82,875 -2,86200E-004
      83,125 -2,76900E-004
      83,391 -2,75800E-004
      83,641 -2,79400E-004
      83,907 -2,80800E-004
      84,157 -2,77700E-004
      84,407 -2,74800E-004
      84,672 -2,65500E-004
      84,922 -2,67200E-004
      85,188 -2,67200E-004
      85,438 -2,63300E-004
      85,688 -2,58000E-004
      85,954 -2,54800E-004
      86,204 -2,54200E-004
      86,469 -2,50200E-004
      86,719 -2,41800E-004
      86,969 -2,38000E-004
      87,235 -2,34000E-004
      87,485 -2,34600E-004
      87,750 -2,41200E-004
      88,000 -2,39200E-004
      88,250 -2,37800E-004
      88,516 -2,31100E-004
      88,766 -2,27100E-004
      89,032 -2,26600E-004
      89,282 -2,21700E-004
      89,547 -2,17100E-004
      89,813 -2,10600E-004
      90,063 -2,09300E-004
      90,329 -2,05600E-004
      90,579 -2,00100E-004
      90,844 -1,90700E-004
      91,094 -1,81200E-004
      91,360 -1,82600E-004
      91,610 -1,80700E-004
      91,875 -1,86600E-004
      92,125 -1,83900E-004
      92,391 -1,83100E-004
      92,641 -1,78000E-004
      92,907 -1,73300E-004
      93,157 -1,67000E-004
      93,422 -1,70300E-004
      93,688 -1,64000E-004
      93,938 -1,59200E-004
      94,204 -1,56300E-004
      94,454 -1,54500E-004
      94,719 -1,52500E-004
      94,985 -1,47000E-004
      95,235 -1,40700E-004
      95,500 -1,42700E-004
      95,766 -1,35500E-004
      96,016 -1,43200E-004
      96,282 -1,38200E-004
      96,547 -1,36500E-004
      96,797 -1,28600E-004
      97,063 -1,21700E-004
      97,313 -1,24000E-004
      97,563 -1,20600E-004
      97,829 -1,13900E-004
      98,079 -1,09300E-004
      98,329 -1,06800E-004
      98,579 -1,01100E-004
      98,844 -9,73000E-005
      99,094 -9,01000E-005
      99,344 -8,21000E-005
      99,610 -8,00000E-005
      99,860 -7,12000E-005
     100,125 -8,33000E-005
     100,375 -8,12000E-005
     100,625 -7,97000E-005
     100,891 -7,28000E-005
     101,141 -6,36000E-005
     101,391 -6,47000E-005
     101,657 -6,91000E-005
     101,907 -6,00000E-005
     102,172 -5,50000E-005
     102,422 -5,48000E-005
     102,672 -5,23000E-005
     102,938 -4,52000E-005
     103,188 -4,06000E-005
     103,438 -3,33000E-005
     103,704 -3,14000E-005
     103,954 -3,44000E-005
     104,219 -3,70000E-005
     104,469 -3,32000E-005
     104,719 -2,78000E-005
     104,985 -1,99000E-005
     105,235 -1,91000E-005
     105,500 -2,21000E-005
     105,750 -1,67000E-005
     106,000 -1,16000E-005
     106,266 -1,15000E-005
     106,516 -9,90000E-006
     106,782 -5,80000E-006
     107,032  2,80000E-006
     107,297  9,10000E-006
     107,547  1,80000E-005
     107,813  2,71000E-005
     108,063  1,91000E-005
     108,329  2,21000E-005
     108,579  2,47000E-005
     108,844  2,38000E-005
     109,094  2,95000E-005
     109,360  3,65000E-005
     109,610  3,49000E-005
     109,875  3,77000E-005
     110,125  4,57000E-005
     110,391  5,36000E-005
     110,641  4,83000E-005
     110,907  5,27000E-005
     111,157  6,16000E-005
     111,422  6,64000E-005
     111,672  6,96000E-005
     111,938  7,09000E-005
     112,188  6,44000E-005
     112,454  6,44000E-005
     112,704  6,52000E-005
     112,969  6,97000E-005
     113,219  7,51000E-005
     113,485  7,97000E-005
     113,750  7,77000E-005
     114,000  8,15000E-005
     114,266  9,09000E-005
     114,516  9,86000E-005
     114,782  9,53000E-005
     115,047  9,87000E-005
     115,297  1,10700E-004
     115,563  1,18300E-004
     115,829  1,20700E-004
     116,079  1,22700E-004
     116,344  1,21100E-004
     116,594  1,20200E-004
     116,860  1,22600E-004
     117,125  1,29100E-004
     117,375  1,33300E-004
     117,641  1,43600E-004
     117,907  1,33500E-004
     118,157  1,37800E-004
     118,422  1,44400E-004
     118,672  1,47900E-004
     118,938  1,48600E-004
     119,204  1,55900E-004
     119,454  1,68700E-004
     119,719  1,79900E-004
     119,985  1,75300E-004
     120,235  1,75600E-004
     120,500  1,69700E-004
     120,766  1,76300E-004
     121,032  1,73100E-004
     121,297  1,81200E-004
     121,563  1,89900E-004
     121,813  1,85500E-004
     122,079  1,85500E-004
     122,344  1,90800E-004
     122,610  1,95200E-004
     122,875  1,95800E-004
     123,141  1,99700E-004
     123,407  2,07900E-004
     123,672  2,13400E-004
     123,938  2,15400E-004
     124,204  2,18200E-004
     124,469  2,13400E-004
     124,735  2,15300E-004
     125,000  2,18200E-004
     125,250  2,24200E-004
     125,532  2,39500E-004
     125,797  2,39800E-004
     126,063  2,36300E-004
     126,329  2,45600E-004
     126,594  2,49600E-004
     126,860  2,50100E-004
     127,125  2,55500E-004
     127,391  2,60300E-004
     127,657  2,67600E-004
     127,922  2,75200E-004
     128,188  2,79200E-004
     128,454  2,76500E-004
     128,719  2,77200E-004
     128,985  2,80600E-004
     129,250  2,80400E-004
     129,516  2,89300E-004
     129,782  2,94600E-004
     130,047  2,85500E-004
     130,313  2,92500E-004
     130,579  2,93600E-004
     130,844  2,96500E-004
     131,110  2,99000E-004
     131,375  3,02600E-004
     131,641  3,10400E-004
     131,891  3,19500E-004
     132,157  3,24000E-004
     132,422  3,28400E-004
     132,688  3,25100E-004
     132,938  3,29600E-004
     133,204  3,30700E-004
     133,469  3,32300E-004
     133,719  3,43600E-004
     133,985  3,45500E-004
     134,250  3,43800E-004
     134,500  3,52100E-004
     134,766  3,55500E-004
     135,032  3,58900E-004
     135,282  3,61900E-004
     135,547  3,67200E-004
     135,797  3,75600E-004
     136,063  3,88600E-004
     136,329  3,90700E-004
     136,579  3,90200E-004
     136,844  3,88100E-004
     137,110  3,91400E-004
     137,360  3,87100E-004
     137,625  3,91700E-004
     137,875  4,00700E-004
     138,141  3,93900E-004
     138,407  3,96900E-004
     138,657  4,03400E-004
     138,922  4,13300E-004
     139,172  4,13900E-004
     139,438  4,13000E-004
     139,688  4,20300E-004
     139,954  4,28900E-004
     140,204  4,37000E-004
     140,454  4,47100E-004
     140,719  4,32900E-004
     140,969  4,29500E-004
     141,219  4,32500E-004
     141,485  4,33600E-004
     141,735  4,36900E-004
     142,000  4,41800E-004
     142,250  4,41100E-004
     142,500  4,42800E-004
     142,766  4,47200E-004
     143,016  4,58100E-004
     143,266  4,65000E-004
     143,532  4,67600E-004
     143,782  4,76600E-004
     144,047  4,85800E-004
     144,297  4,97500E-004
     144,547  5,02400E-004
     144,813  4,90000E-004
     145,063  4,88000E-004
     145,313  4,89700E-004
     145,579  4,91000E-004
     145,829  4,92300E-004
     146,094  4,99200E-004
     146,344  5,00100E-004
     146,594  5,02400E-004
     146,860  5,04300E-004
     147,110  5,12600E-004
     147,360  5,12800E-004
     147,625  5,15200E-004
     147,875  5,20300E-004
     148,141  5,27100E-004
     148,391  5,32700E-004
     148,641  5,35600E-004
     148,907  5,28100E-004
     149,157  5,32000E-004
     149,407  5,33000E-004
     149,672  5,33600E-004
     149,922  5,41000E-004
     150,188  5,40800E-004
     150,438  5,43500E-004
     150,688  5,48000E-004
     150,954  5,54300E-004
     151,204  5,61600E-004
     151,469  5,64800E-004
     151,719  5,71500E-004
     151,969  5,76200E-004
     152,235  5,82200E-004
     152,485  5,91100E-004
     152,750  5,97300E-004
     153,016  5,92000E-004
     153,266  5,94400E-004
     153,516  5,98100E-004
     153,782  5,99900E-004
     154,032  5,96900E-004
     154,282  6,03500E-004
     154,547  6,02500E-004
     154,797  6,03900E-004
     155,063  6,06300E-004
     155,313  6,14900E-004
     155,563  6,17900E-004
     155,829  6,23900E-004
     156,079  6,25700E-004
     156,329  6,35200E-004
     156,594  6,38600E-004
     156,844  6,40800E-004
     157,110  6,37200E-004
     157,360  6,49100E-004
     157,625  6,41800E-004
     157,875  6,41400E-004
     158,125  6,44700E-004
     158,454  6,49200E-004
     158,719  6,47900E-004
     158,969  6,53100E-004
     159,219  6,59600E-004
     159,485  6,66300E-004
     159,735  6,71500E-004
     160,000  6,73000E-004
     160,250  6,79100E-004
     160,516  6,87800E-004
     160,766  6,95400E-004
     161,016  6,94900E-004
     161,282  7,04800E-004
     161,532  7,13500E-004
     161,797  7,02700E-004
     162,047  7,03500E-004
     162,313  7,09800E-004
     162,563  7,17400E-004
     162,813  7,12000E-004
     163,079  7,16600E-004
     163,329  7,21100E-004
     163,594  7,26000E-004
     163,844  7,30500E-004
     164,110  7,33100E-004
     164,360  7,40300E-004
     164,625  7,49100E-004
     164,875  7,50600E-004
     165,141  7,50000E-004
     165,391  7,54300E-004
     165,657  7,63300E-004
     165,907  7,50700E-004
     166,172  7,50700E-004
     166,422  7,52200E-004
     166,688  7,50200E-004
     166,938  7,53700E-004
     167,204  7,57400E-004
     167,454  7,71600E-004
     167,719  7,71700E-004
     167,969  7,76900E-004
     168,235  7,80000E-004
     168,485  7,90200E-004
     168,750  8,00000E-004
     169,000  8,03700E-004
     169,266  8,04900E-004
     169,516  8,09700E-004
     169,782  8,14900E-004
     170,032  8,10900E-004
